#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.01289,       4096,          0,          0, (null)
   0.01333,       8192,          0,          0, (null)
   0.01387,      12288,          0,          0, (null)
   0.01425,      16384,          0,          0, (null)
   0.01455,      20480,          0,          0, (null)
   0.01499,      24576,          0,          0, (null)
   0.01526,      28672,          0,          0, (null)
   0.01578,      32768,          0,          0, (null)
   0.01622,      36864,          0,          0, (null)
   0.01656,      40960,          0,          0, (null)
   0.01688,      45056,          0,          0, (null)
   0.01715,      49152,          0,          0, (null)
   0.01741,      53248,          0,          0, (null)
   0.01766,      57344,          0,          0, (null)
   0.01799,      61440,          0,          0, (null)
   0.01837,      65536,          0,          0, (null)
   0.01875,      69632,          0,          0, (null)
   0.01908,      73728,          0,          0, (null)
   0.01963,      77824,          0,          0, (null)
   0.02019,      81920,          0,          0, (null)
   0.02057,      86016,          0,          0, (null)
   0.02115,      90112,          0,          0, (null)
   0.02171,      94208,          0,          0, (null)
   0.02221,      98304,          0,          0, (null)
   0.02276,     102400,          0,          0, (null)
   0.02336,     106496,          0,          0, (null)
   0.02389,     110592,          0,          0, (null)
   0.02430,     114688,          0,          0, (null)
   0.02476,     118784,          0,          0, (null)
   0.02521,     122880,          0,          0, (null)
   0.02563,     126976,          0,          0, (null)
   0.02618,     131072,          0,          0, (null)
   0.02675,     135168,          0,          0, (null)
   0.02716,     138177,          0,          0, (null)
   0.02787,     138177,          1,          0, /courses/ud923/filecorpus/road.jpg
   0.02948,     138248,          1,          0, (null)
   0.03007,     138248,          2,          0, /courses/ud923/filecorpus/testFile.txt
   0.03120,     142344,          2,          0, (null)
   0.03155,     146440,          2,          0, (null)
   0.03203,     150536,          2,          0, (null)
   0.03247,     154632,          2,          0, (null)
   0.03284,     158728,          2,          0, (null)
   0.03321,     162824,          2,          0, (null)
   0.03397,     166920,          2,          0, (null)
   0.03471,     171016,          2,          0, (null)
   0.03536,     175112,          2,          0, (null)
   0.03589,     179208,          2,          0, (null)
   0.03661,     183304,          2,          0, (null)
   0.03707,     187400,          2,          0, (null)
   0.03748,     191496,          2,          0, (null)
   0.03816,     195592,          2,          0, (null)
   0.03879,     199688,          2,          0, (null)
   0.03999,     203784,          2,          0, (null)
   0.04073,     207880,          2,          0, (null)
   0.04129,     211976,          2,          0, (null)
   0.04170,     216072,          2,          0, (null)
   0.04211,     220168,          2,          0, (null)
   0.04239,     224264,          2,          0, (null)
   0.04272,     228360,          2,          0, (null)
   0.04305,     232456,          2,          0, (null)
   0.04349,     236552,          2,          0, (null)
   0.04379,     240648,          2,          0, (null)
   0.04432,     242492,          2,          0, (null)
   0.04487,     242492,          3,          0, /courses/ud923/filecorpus/yellowstone.jpg
   0.04682,     246588,          3,          0, (null)
   0.04739,     250684,          3,          0, (null)
   0.05068,     254780,          3,          0, (null)
   0.05124,     258876,          3,          0, (null)
   0.05177,     262972,          3,          0, (null)
   0.05236,     267068,          3,          0, (null)
   0.05272,     271164,          3,          0, (null)
   0.05312,     275260,          3,          0, (null)
   0.05353,     279356,          3,          0, (null)
   0.05397,     283452,          3,          0, (null)
   0.05447,     287548,          3,          0, (null)
   0.05497,     291644,          3,          0, (null)
   0.05557,     295740,          3,          0, (null)
   0.05616,     299836,          3,          0, (null)
   0.05658,     303932,          3,          0, (null)
   0.05694,     308028,          3,          0, (null)
   0.05739,     312124,          3,          0, (null)
   0.05790,     316220,          3,          0, (null)
   0.05851,     320316,          3,          0, (null)
   0.05910,     324412,          3,          0, (null)
   0.05947,     328508,          3,          0, (null)
   0.05992,     332604,          3,          0, (null)
   0.06021,     336700,          3,          0, (null)
   0.06062,     340796,          3,          0, (null)
   0.06098,     344892,          3,          0, (null)
   0.06141,     348988,          3,          0, (null)
   0.06187,     353084,          3,          0, (null)
   0.06226,     357180,          3,          0, (null)
   0.06258,     361276,          3,          0, (null)
   0.06301,     365372,          3,          0, (null)
   0.06337,     369468,          3,          0, (null)
   0.06368,     373564,          3,          0, (null)
   0.06415,     377660,          3,          0, (null)
   0.06454,     381756,          3,          0, (null)
   0.06499,     385852,          3,          0, (null)
   0.06539,     389948,          3,          0, (null)
   0.06582,     394044,          3,          0, (null)
   0.06630,     398140,          3,          0, (null)
   0.06655,     402236,          3,          0, (null)
   0.06704,     406332,          3,          0, (null)
   0.06740,     410428,          3,          0, (null)
   0.06796,     414524,          3,          0, (null)
   0.06826,     418620,          3,          0, (null)
   0.06864,     422716,          3,          0, (null)
   0.06918,     426812,          3,          0, (null)
   0.06972,     430908,          3,          0, (null)
   0.07016,     435004,          3,          0, (null)
   0.07073,     439100,          3,          0, (null)
   0.07110,     443196,          3,          0, (null)
   0.07165,     447292,          3,          0, (null)
   0.07214,     451388,          3,          0, (null)
   0.07271,     455484,          3,          0, (null)
   0.07321,     459580,          3,          0, (null)
   0.07381,     463676,          3,          0, (null)
   0.07409,     467772,          3,          0, (null)
   0.07463,     471868,          3,          0, (null)
   0.07512,     475964,          3,          0, (null)
   0.07559,     480060,          3,          0, (null)
   0.07581,     484156,          3,          0, (null)
   0.07612,     488252,          3,          0, (null)
   0.07641,     492348,          3,          0, (null)
   0.07670,     496444,          3,          0, (null)
   0.07737,     500540,          3,          0, (null)
   0.07764,     504636,          3,          0, (null)
   0.07789,     508732,          3,          0, (null)
   0.07822,     512828,          3,          0, (null)
   0.07851,     516924,          3,          0, (null)
   0.07874,     521020,          3,          0, (null)
   0.07900,     525116,          3,          0, (null)
   0.07932,     529212,          3,          0, (null)
   0.07962,     533308,          3,          0, (null)
   0.07987,     537404,          3,          0, (null)
   0.08012,     541500,          3,          0, (null)
   0.08046,     545596,          3,          0, (null)
   0.08078,     549692,          3,          0, (null)
   0.08111,     553788,          3,          0, (null)
   0.08139,     557884,          3,          0, (null)
   0.08174,     561980,          3,          0, (null)
   0.08201,     566076,          3,          0, (null)
   0.08232,     570172,          3,          0, (null)
   0.08267,     574268,          3,          0, (null)
   0.08299,     578364,          3,          0, (null)
   0.08335,     582460,          3,          0, (null)
   0.08365,     586556,          3,          0, (null)
   0.08389,     590652,          3,          0, (null)
   0.08433,     594748,          3,          0, (null)
   0.08479,     598844,          3,          0, (null)
   0.08525,     602940,          3,          0, (null)
   0.08570,     607036,          3,          0, (null)
   0.08611,     611132,          3,          0, (null)
   0.08647,     615228,          3,          0, (null)
   0.08675,     619324,          3,          0, (null)
   0.08707,     623420,          3,          0, (null)
   0.08747,     627516,          3,          0, (null)
   0.08783,     631612,          3,          0, (null)
   0.08817,     635708,          3,          0, (null)
   0.08848,     639804,          3,          0, (null)
